filename,timestamp,categories
01_00m15s.jpg,00:15,Vehicles Driving; Graphics Animation
02_00m35s.jpg,00:35,Jason Lucia; Character Interactions
03_00m52s.jpg,00:52,Character Interactions
04_01m15s.jpg,01:15,Character Interactions
05_01m45s.jpg,01:45,Jason Lucia; Character Interactions
06_02m12s.jpg,02:12,Gameplay Action
07_02m42s.jpg,02:42,Graphics Animation; News Social Highlights
08_03m18s.jpg,03:18,News Social Highlights
10_04m15s.jpg,04:15,Gameplay Action; Weapons Combat
11_04m38s.jpg,04:38,Gameplay Action; Weapons Combat
12_05m20s.jpg,05:20,Jason Lucia; Character Interactions
15_07m00s.jpg,07:00,Jason Lucia
17_08m00s.jpg,08:00,Vehicles Driving; Locations World; Graphics Animation; News Social Highlights
18_08m30s.jpg,08:30,Vehicles Driving; Police Chases
19_08m55s.jpg,08:55,Vehicles Driving; Police Chases; Graphics Animation; News Social Highlights
20_09m25s.jpg,09:25,Jason Lucia; Character Interactions
22_10m05s.jpg,10:05,Locations World; Character Interactions
23_10m25s.jpg,10:25,Jason Lucia; Character Interactions
24_10m45s.jpg,10:45,Locations World; Graphics Animation; News Social Highlights
25_11m15s.jpg,11:15,Locations World; Character Interactions
26_11m40s.jpg,11:40,Gameplay Action
27_12m15s.jpg,12:15,Gameplay Action; Weapons Combat
28_12m45s.jpg,12:45,Vehicles Driving; Locations World; Police Chases; Graphics Animation; News Social Highlights
29_13m20s.jpg,13:20,Jason Lucia; Character Interactions
30_13m45s.jpg,13:45,Character Interactions
31_14m15s.jpg,14:15,Gameplay Action; Weapons Combat; Police Chases
32_14m45s.jpg,14:45,Weapons Combat
33_15m00s.jpg,15:00,Jason Lucia
34_15m30s.jpg,15:30,Vehicles Driving; Graphics Animation
35_15m50s.jpg,15:50,Vehicles Driving; Police Chases
36_16m15s.jpg,16:15,Gameplay Action; Police Chases
37_16m50s.jpg,16:50,Jason Lucia; Character Interactions
38_17m10s.jpg,17:10,Vehicles Driving; Graphics Animation
41_18m20s.jpg,18:20,Character Interactions
42_18m50s.jpg,18:50,Locations World; Graphics Animation; News Social Highlights
43_19m20s.jpg,19:20,Jason Lucia; Character Interactions; News Social Highlights
44_19m50s.jpg,19:50,Jason Lucia; Vehicles Driving
45_20m20s.jpg,20:20,Graphics Animation
46_20m45s.jpg,20:45,Vehicles Driving; Locations World; Graphics Animation; News Social Highlights
47_21m15s.jpg,21:15,Character Interactions
48_21m40s.jpg,21:40,Locations World; Graphics Animation
51_23m00s.jpg,23:00,Character Interactions; News Social Highlights
52_23m30s.jpg,23:30,Gameplay Action; Police Chases
53_24m00s.jpg,24:00,Gameplay Action; Weapons Combat
54_24m30s.jpg,24:30,Gameplay Action
55_25m00s.jpg,25:00,Gameplay Action; Weapons Combat; Police Chases
56_25m30s.jpg,25:30,Gameplay Action; Weapons Combat; News Social Highlights
57_26m00s.jpg,26:00,Jason Lucia; Locations World; Character Interactions; News Social Highlights
